,STATE,IDCENSUS,NAME,COUNTY NUMBER,TOTAL ELEMENTARY-SECONDARY REVENUE,Total Revenue from Federal Sources,Total Revenue from State Sources,Total Revenue from Local Sources,TOTAL ELEMENTARY-SECONDARY EXPENDITURE,TOTAL CURRENT SPENDING FOR ELEMENTARY-SECONDARY PROGRAMS,TOTAL CURRENT SPENDING FOR INSTRUCTION,TOTAL CURRENT SPENDING FOR SUPPORT SERVICES,TOTAL CURRENT SPENDING FOR OTHER ELEMENTARY-SECONDARY PROGRAMS,TOTAL CURRENT SPENDING FOR NONELEMENTARY-SECONDARY PROGRAMS,TOTAL CAPITAL OUTLAY EXPENDITURE,Total salaries and wages,Total salaries and wages - Instruction,Total salaries and wages - Pupil support,Total salaries and wages - Instructional staff support,Total salaries and wages - General administration,Total salaries and wages - School administration ,Total salaries and wages - Operation and maintenance of plant,Total salaries and wages - Student transportation,Total salaries and wages - Business/central/other support services,Total salaries and wages - Food services,Total employee benefit payments,Total employee benefit payments - Instruction,Total employee benefit payments - Pupil support,Total employee benefit payments - Instructional staff,Total employee benefit payments - General administration,Total employee benefit payments - School administration,Total employee benefit payments - Operation and maintenance of plant,Total employee benefit payments - Student transportation,Total employee benefit payments - Business/central/other support services,Total employee benefit payments - Food services,Total employee benefit payments - Enterprise operations
21,1,1501400100000,CLAY COUNTY SCHOOL DISTRICT,1027,18687,2114,13025,3548,18162,17389,10112,5931,1346,367,126,9932,6684,579,212,218,687,203,777,161,403,4246,2569,219,82,61,282,121,593,67,248,0
22,1,1501500100000,CLEBURNE COUNTY SCHOOL DISTRICT,1029,25720,2761,17623,5336,25398,24047,13799,8171,2077,260,630,13341,8670,676,430,235,1166,351,797,312,679,5563,3383,267,143,68,420,189,505,138,447,0
23,1,1501600100000,COFFEE COUNTY SCHOOL DISTRICT,1031,22344,2547,14602,5195,21762,20625,12074,7235,1316,79,828,10618,6919,656,437,431,827,211,516,196,394,4264,2645,242,145,119,341,112,342,76,238,0
24,1,1501600200000,ELBA CITY SCHOOL DISTRICT,1031,6978,1121,4160,1697,6818,6504,3350,2652,502,253,0,3628,2245,204,110,188,261,105,137,133,172,1473,893,78,39,63,102,59,77,48,109,0
25,1,1501600300000,ENTERPRISE CITY SCHOOL DISTRICT,1031,69525,6407,42954,20164,74808,62677,34042,24648,3987,781,10691,34311,22043,1915,1457,880,2892,1749,1585,554,1147,14355,8884,700,513,288,1045,896,1078,195,739,0
26,1,1501700100000,COLBERT COUNTY SCHOOL DISTRICT,1033,31454,3699,15797,11958,31162,29931,16118,11637,2176,622,240,17444,10675,1406,893,361,1226,714,1057,308,783,7181,4230,540,313,104,443,353,661,108,425,0
27,1,1501700200000,SHEFFIELD CITY SCHOOL DISTRICT,1033,13427,2024,7031,4372,12842,12347,6631,4688,1028,246,208,6917,4356,383,377,416,593,260,51,76,310,2678,1638,137,139,128,222,124,30,39,203,0
28,1,1501700300000,TUSCUMBIA CITY SCHOOL DISTRICT,1033,18524,1357,11912,5255,15285,14576,7848,5648,1080,166,213,8108,5112,598,356,352,642,304,50,278,377,3224,2008,247,125,106,240,132,13,94,250,0
29,1,1501750100000,MUSCLE SHOALS CITY SCHOOL DISTRICT,1033,31032,1777,16720,12535,31561,30048,18099,10100,1849,774,283,17045,11478,1077,340,744,1371,741,127,266,672,6305,4172,373,138,219,472,322,51,90,415,0
30,1,1501800100000,CONECUH COUNTY SCHOOL DISTRICT,1035,20217,2783,12373,5061,21716,20471,10881,8313,1277,312,688,10335,5989,594,501,416,1057,307,654,378,361,4328,2433,217,178,114,398,161,429,155,230,0
31,1,1501900100000,COOSA COUNTY SCHOOL DISTRICT,1037,11004,1470,6191,3343,10720,9994,4943,4291,760,95,499,5423,3102,335,235,158,539,121,489,189,252,2358,1262,129,81,34,206,64,360,67,156,0
32,1,1502000100000,ANDALUSIA CITY SCHOOL DISTRICT,1039,25544,2406,10366,12772,24716,15500,9314,5082,1104,121,8674,8369,5918,341,250,332,636,172,265,171,281,3420,2325,131,89,114,231,85,178,61,206,0
33,1,1502000200000,COVINGTON COUNTY SCHOOL DISTRICT,1039,32707,3631,20212,8864,32594,29655,17434,10537,1684,778,1929,16482,11086,813,546,506,1313,479,955,181,476,6962,4353,317,210,171,522,278,689,73,331,0
34,1,1502000400000,OPP CITY SCHOOL DISTRICT,1039,14608,1848,8784,3976,14114,12901,7330,4570,1001,329,522,7243,4805,277,219,334,575,343,243,148,296,2925,1834,113,87,119,216,170,153,53,180,0
35,1,1502100100000,CRENSHAW COUNTY SCHOOL DISTRICT,1041,21989,2736,14399,4854,22328,20732,12672,6501,1559,798,533,11804,7963,556,202,355,836,282,565,287,505,4863,3171,197,70,108,311,145,388,107,308,0
36,1,1502200100000,CULLMAN CITY SCHOOL DISTRICT,1043,34361,3207,16070,15084,32654,30155,19393,9302,1460,261,1303,17039,12113,1106,357,377,1261,687,74,498,469,6521,4640,375,111,114,453,313,25,170,307,0
37,1,1502200200000,CULLMAN COUNTY SCHOOL DISTRICT,1043,99003,10538,59964,28501,97134,90820,52228,32689,5903,2246,3271,51696,33680,3291,2545,566,4347,1752,2519,878,2016,20806,12658,1272,897,172,1639,926,1622,312,1274,0
38,1,1502300100000,DALE COUNTY SCHOOL DISTRICT,1045,32655,3028,21729,7898,33212,28382,17527,8759,2096,898,3633,15649,10487,652,385,420,1234,442,869,389,685,6452,4065,252,136,125,452,238,617,139,419,0
39,1,1502300200000,OZARK CITY SCHOOL DISTRICT,1045,22983,3111,13797,6075,21860,20451,11109,7977,1365,185,851,11290,6993,1014,237,383,1025,223,631,397,377,4591,2686,367,84,116,386,100,482,145,223,0
40,1,1502370100000,DALEVILLE CITY SCHOOL DISTRICT,1045,10667,1882,6535,2250,10591,10029,5509,3929,591,107,173,5498,3563,408,117,236,359,204,294,151,163,2267,1442,148,42,75,126,95,178,53,108,0
41,1,1502400100000,DALLAS COUNTY SCHOOL DISTRICT,1047,36002,6940,22828,6234,35608,34582,17365,14765,2452,444,462,18998,10632,1663,1329,677,1491,712,1479,262,720,8032,4158,661,444,208,591,361,989,107,505,0
42,1,1502400200000,SELMA CITY SCHOOL DISTRICT,1047,34545,6460,21510,6575,34528,32984,17894,12300,2790,480,563,17199,10681,1335,616,873,1531,578,126,344,917,7310,4488,503,217,286,595,353,65,135,630,0
43,1,1502500100000,DE KALB COUNTY SCHOOL DISTRICT,1049,89469,12124,58827,18518,87727,84057,49680,27496,6881,443,2825,45747,32372,2076,866,774,2869,1211,2601,770,1925,18975,12386,792,291,365,1169,674,1772,321,1152,0
44,1,1502500200000,FORT PAYNE CITY SCHOOL DISTRICT,1049,30727,3926,19188,7613,30859,27437,17339,7835,2263,384,2895,15630,10957,776,582,349,943,424,497,395,608,6254,4185,310,225,89,351,214,325,144,398,0
45,1,1502600100000,ELMORE COUNTY SCHOOL DISTRICT,1051,105760,10108,66634,29018,102135,95254,59194,29703,6357,3071,2217,54632,37258,2945,1292,892,3710,1833,2760,748,1959,22965,14703,1111,469,301,1468,1009,2000,289,1221,0
46,1,1502600200000,TALLASSEE CITY SCHOOL DISTRICT,1051,17865,1522,10971,5372,17202,16482,10209,5260,1013,253,381,9205,6452,457,294,288,696,249,79,250,377,3589,2495,161,114,96,252,120,38,86,218,0
47,1,1502700200000,BREWTON CITY SCHOOL DISTRICT,1053,13848,1014,6984,5850,12641,11713,6847,4453,413,140,230,6319,4375,254,177,136,681,169,128,187,152,2434,1608,108,91,43,244,92,70,72,96,0
48,1,1502700300000,ESCAMBIA COUNTY SCHOOL DISTRICT,1053,47660,5818,28744,13098,49502,44695,24452,17153,3090,543,3300,24584,15577,1233,954,472,2055,1169,1583,464,931,10667,6274,460,313,138,849,690,1131,167,620,0
49,1,1502800100000,ATTALLA CITY SCHOOL DISTRICT,1055,15849,1869,10902,3078,18011,14901,8729,5070,1102,217,2410,8702,5649,566,160,592,594,223,272,191,377,3446,2165,229,59,167,229,134,142,70,237,0
50,1,1502800200000,ETOWAH COUNTY BOARD OF EDUCATION,1055,83181,7912,56318,18951,79383,75083,43653,25619,5811,1165,1123,43908,28891,2872,1748,612,3407,1122,2203,997,1816,18280,11283,1118,619,197,1331,706,1363,402,1224,0
51,1,1502800300000,GADSDEN CITY SCHOOL DISTRICT,1055,55734,8567,32374,14793,61474,50744,29020,17942,3782,839,8929,28878,18830,2026,1530,963,2462,1112,86,286,1222,11466,7310,754,548,336,908,627,69,108,743,0
52,1,1502900100000,FAYETTE COUNTY SCHOOL DISTRICT,1057,23283,2580,15099,5604,23028,22132,12280,8010,1842,574,187,12402,7704,664,529,556,1055,413,632,137,596,5207,3151,246,189,172,368,198,445,44,377,0
53,1,1503000100000,FRANKLIN COUNTY SCHOOL DISTRICT,1059,44555,10923,24511,9121,42367,34900,20499,10910,3491,1054,5911,19830,13287,1176,442,656,1359,547,1067,83,994,8372,5275,423,161,203,515,277,716,110,652,0
54,1,1503000200000,RUSSELLVILLE CITY SCHOOLS,1059,26843,4045,15388,7410,28823,24966,14865,7769,2332,857,2854,14145,9447,554,328,437,1050,383,558,599,627,5505,3522,196,118,124,379,200,348,206,381,0
55,1,1503100100000,GENEVA COUNTY SCHOOL DISTRICT,1061,26442,3886,17926,4630,26600,25413,14536,8691,2186,561,419,13828,9100,990,359,625,953,283,665,266,564,5896,3659,414,133,208,346,170,457,105,398,0
56,1,1503180100000,GENEVA CITY SCHOOL DISTRICT,1061,12770,1273,8495,3002,15020,12097,7444,3956,697,188,2616,7060,4842,335,177,268,584,222,236,195,172,2819,1836,126,72,84,216,123,164,73,120,0
57,1,1503200100000,GREENE COUNTY SCHOOL DISTRICT,1063,15169,3091,7347,4731,14226,13377,6491,5968,918,274,152,7366,4157,550,314,363,670,305,459,132,334,2967,1646,207,115,115,224,156,264,50,183,0
58,1,1503300100000,HALE COUNTY SCHOOL DISTRICT,1065,26421,3394,17511,5516,25357,24305,13427,8843,2035,322,170,13560,8896,884,511,433,951,312,745,271,556,5536,3471,336,186,140,346,168,474,103,311,0
59,1,1503400100000,HENRY COUNTY SCHOOL DISTRICT,1067,24240,2645,16087,5508,24374,22467,12983,7815,1669,305,387,12637,8235,904,333,394,931,285,673,314,538,5335,3314,361,117,109,330,189,460,115,334,0
60,1,1503500100000,DOTHAN CITY SCHOOL DISTRICT,1069,92098,13769,53279,25050,89429,86589,51045,29636,5908,930,1468,49091,32961,3361,2250,573,3693,1203,1793,1070,1775,20351,13241,1317,777,165,1388,627,1234,379,1147,0
61,1,1503500200000,HOUSTON COUNTY SCHOOL DISTRICT,1069,59815,6498,36363,16954,58296,55310,32656,18637,4017,623,1499,30840,21650,1528,518,358,2287,849,1614,744,1259,12940,8502,572,204,101,837,403,1239,290,787,0
62,1,1503600100000,JACKSON COUNTY SCHOOL DISTRICT,1071,61260,7503,36823,16934,57159,54160,28518,21259,4383,1238,1092,31678,18913,2261,1701,961,2379,1513,1776,97,1457,12973,7224,1136,602,331,851,775,1080,31,842,0
63,1,1503600200000,SCOTTSBORO CITY SCHOOL DISTRICT,1071,28479,2146,16039,10294,27375,24680,13835,9285,1560,626,271,14448,9126,947,444,449,987,783,665,367,577,5810,3527,347,164,168,349,365,393,132,339,0
64,1,1503700100000,BESSEMER CITY SCHOOL DISTRICT,1073,41275,8170,21024,12081,41230,38606,19047,16172,3387,895,1175,21024,12027,1304,1669,421,1647,1250,808,430,1090,8482,4825,456,572,125,621,526,501,151,646,0
65,1,1503700200000,BIRMINGHAM CITY SCHOOL DISTRICT,1073,286562,47818,130027,108717,278095,265655,144041,104882,16732,5640,3647,143435,86372,8883,10213,2364,11459,9167,2790,2950,5458,53059,32103,3004,3200,861,4083,3844,1499,944,3035,0
66,1,1503700300000,FAIRFIELD CITY SCHOOL DISTRICT,1073,18463,3090,11476,3897,18724,17827,9325,6998,1504,323,437,9062,5899,583,373,368,731,185,156,190,458,3653,2346,210,134,129,259,107,91,69,288,0
67,1,1503700400000,JEFFERSON COUNTY BOARD OF EDUCATION,1073,377327,36208,214779,126340,366665,334758,188677,121716,24365,3999,21730,193856,123962,12628,7389,1574,16884,7665,10826,3171,8731,77853,47280,4753,2527,451,6161,3823,6554,1055,4901,0
68,1,1503700500000,TARRANT CITY SCHOOL DISTRICT,1073,13143,2400,7244,3499,13434,12801,6091,5586,1124,213,264,6947,3894,485,212,552,731,351,6,270,368,2725,1551,175,75,166,271,159,1,93,223,0
69,1,1503710100000,LEEDS CITY SCHOOL DISTRICT,1073,20007,1544,11917,6546,20693,19000,10480,7417,1103,310,177,10630,7035,604,404,156,801,183,405,454,385,4118,2712,211,127,39,304,71,249,150,218,0
70,1,1503710200000,TRUSSVILLE CITY SCHOOL DISTRICT,1073,53968,1322,27960,24686,52480,46807,26400,17788,2619,1189,3180,27041,17657,1543,774,685,1941,914,1393,912,953,10325,6428,547,273,200,653,420,891,277,560,0
71,1,1503740100000,HOOVER CITY SCHOOL DISTRICT,1073,179516,6516,72905,100095,178534,155631,94976,52622,8033,3102,12432,90022,60925,5626,3762,499,6864,4379,3576,1109,2596,35382,22251,2091,1354,142,2524,2337,2373,451,1635,0
72,1,1503750100000,MOUNTAIN BROOK SCHOOLS,1073,64347,1061,21113,42173,62194,58495,36678,19641,2176,1265,2059,33907,23394,1842,1875,433,2485,1673,134,959,761,12380,8475,640,635,109,855,766,24,343,440,0
73,1,1503780100000,HOMEWOOD CITY SCHOOL DISTRICT,1073,66091,2282,19736,44073,61450,49254,30304,16701,2249,927,10061,29664,19559,2175,1207,1034,2334,1590,55,452,818,10850,7373,649,425,280,787,631,12,138,464,0
74,1,1503780200000,MIDFIELD CITY SCHOOL DISTRICT,1073,12447,2661,7050,2736,13023,12545,6175,5381,989,159,300,6523,3763,401,518,282,606,258,143,130,309,2557,1474,134,178,80,211,123,78,48,213,0
75,1,1503780400000,VESTAVIA HILLS CITY SCHOOL DISTRICT,1073,88129,1844,37437,48848,114900,82603,52428,26921,3254,1759,27769,46930,33372,2975,845,1343,3314,2403,409,683,1125,17225,12269,1033,281,396,1117,1022,123,221,647,0
76,1,1503800100000,LAMAR COUNTY SCHOOL DISTRICT,1075,23687,2625,15596,5466,24494,21212,11494,7935,1783,554,2381,11491,7246,792,480,298,975,237,697,196,531,4829,2847,299,167,81,379,133,481,78,357,0
77,1,1503900100000,FLORENCE CITY SCHOOL DISTRICT,1077,57266,5096,25592,26578,78618,49600,28406,18391,2803,452,26387,26335,18376,2531,651,568,1962,990,68,238,847,9921,6863,887,219,167,710,389,23,93,550,0
78,1,1503900200000,LAUDERDALE COUNTY SCHOOL DISTRICT,1077,81705,6100,50902,24703,83251,76906,47658,23854,5394,1385,4860,42840,29952,2654,1131,1038,2789,1280,1902,463,1632,17758,11684,988,415,354,1130,642,1245,178,1123,0
79,1,1504000100000,LAWRENCE COUNTY SCHOOL DISTRICT,1079,50689,6364,31767,12558,48217,45330,25363,16147,3820,714,1177,26029,16541,2119,731,432,2026,869,1742,278,1261,10673,6383,806,238,137,723,365,1157,99,750,0
80,1,1504100100000,LEE COUNTY SCHOOL DISTRICT,1081,99464,8145,58745,32574,102223,90737,53534,32473,4730,1312,8785,53163,36365,2873,1356,784,3631,1924,3242,1062,1619,21937,14033,1080,457,214,1406,1037,2254,400,998,0
81,1,1504100200000,OPELIKA CITY SCHOOLS,1081,52282,5560,25968,20754,51268,46877,28132,15613,3132,992,2946,26178,17196,1296,1661,731,1907,1067,732,487,855,10621,6654,457,622,219,724,607,467,187,646,0
82,1,1504170100000,AUBURN CITY SCHOOL DISTRICT,1081,125169,4471,46280,74418,112537,85920,49827,32411,3682,1792,18324,46754,29818,4433,2218,576,3507,1650,2062,858,1153,18179,11173,1506,812,168,1228,851,1357,271,697,0
83,1,1504200100000,ATHENS CITY SCHOOL DISTRICT,1083,78850,3562,27793,47495,73754,41955,25917,13853,2185,696,27898,22893,14974,1377,1303,415,2033,1015,551,317,721,8746,5668,479,426,134,667,433,323,112,453,0
84,1,1504200200000,LIMESTONE COUNTY SCHOOL DISTRICT,1083,93500,7930,57845,27725,90785,83164,50502,27438,5224,1167,3399,48090,31640,2743,2128,1036,3370,1854,2917,447,1693,19401,12181,1061,712,314,1195,842,1859,148,1043,0
85,1,1504300100000,LOWNDES COUNTY SCHOOL DISTRICT,1085,22047,5670,11533,4844,21557,19846,10125,8075,1646,381,783,10349,5884,638,662,369,740,366,731,228,568,4526,2478,236,233,165,286,234,415,89,359,0
86,1,1504400100000,MACON COUNTY SCHOOL DISTRICT,1087,24112,4446,14374,5292,25488,23271,11263,10118,1890,372,663,12931,7259,981,515,499,850,646,863,424,684,4919,2659,342,174,157,285,314,430,145,377,0
87,1,1504500100000,HUNTSVILLE CITY SCHOOL DISTRICT,1089,287663,27234,122848,137581,281555,257068,146716,97002,13350,5568,4854,126275,82397,9434,9279,1747,10999,6173,102,2920,2496,47939,31504,3483,3203,495,3832,2669,32,1054,1436,0
88,1,1504500200000,MADISON COUNTY SCHOOL DISTRICT,1089,192966,12547,115604,64815,190198,174442,100714,62415,11313,3296,4898,102324,67412,5988,4162,1089,8478,4672,4837,1101,3829,41659,26035,2133,1382,345,3119,2255,3307,408,2596,0
89,1,1504530100000,MADISON CITY SCHOOL DISTRICT,1089,119390,5858,64240,49292,116231,101734,61444,35594,4696,1175,8932,56669,37671,3892,3481,718,3854,2088,1874,990,1427,21651,13794,1308,1287,211,1397,1029,1218,369,948,0
90,1,1504600100000,DEMOPOLIS CITY SCHOOL DISTRICT,1091,21824,2484,13689,5651,20846,19742,12494,5859,1389,595,395,11427,8009,523,383,311,939,349,44,214,487,4474,3087,204,136,94,351,186,18,80,295,0
91,1,1504600200000,MARENGO COUNTY SCHOOL DISTRICT,1091,11962,1765,6960,3237,12073,11728,5853,5015,860,93,100,6226,3660,593,222,327,343,160,550,59,309,2734,1437,233,81,115,137,100,420,21,189,0
92,1,1504670100000,LINDEN CITY SCHOOL DISTRICT,1091,5973,1017,3554,1402,6257,5515,2851,2222,442,33,692,3005,1887,255,75,178,320,56,20,68,144,1183,734,87,25,64,123,39,9,23,79,0
93,1,1504700100000,MARION COUNTY SCHOOL DISTRICT,1093,34018,3934,22079,8005,33163,31235,19137,9987,2111,655,1190,17425,11633,1110,391,549,1395,517,884,222,680,7062,4490,423,139,152,511,278,573,78,410,0
94,1,1504700200000,WINFIELD CITY SCHOOL DISTRICT,1093,13201,897,8233,4071,13011,12235,7526,3851,858,431,236,6825,4690,288,206,172,468,197,204,235,240,2754,1829,103,88,51,167,103,134,92,155,0
95,1,1504800100000,MARSHALL COUNTY SCHOOL DISTRICT,1095,59036,7843,37538,13655,61817,57363,30466,22741,4156,663,3074,31494,18831,2303,905,1151,2600,1660,1979,526,1368,12821,7257,852,284,370,988,743,1286,182,819,0
96,1,1504810100000,BOAZ CITY SCHOOL DISTRICT,1095,25307,2488,15499,7320,23541,22648,12368,8430,1850,320,25,12643,7846,712,572,541,899,432,453,426,641,5024,3010,267,190,164,328,233,301,147,366,0
97,1,1504840100000,ALBERTVILLE CITY SCHOOL DISTRICT,1095,56909,7691,33512,15706,50832,47501,27292,16507,3702,887,642,25623,16373,2035,826,726,1802,1018,1220,500,895,10362,6321,762,310,217,676,469,849,157,536,0
98,1,1504880100000,ARAB CITY SCHOOL DISTRICT,1095,25664,1580,16148,7936,32839,23953,15302,7279,1372,358,8143,14247,10320,705,306,354,894,342,381,258,423,5426,3876,270,134,99,324,129,190,96,262,0
99,1,1504880200000,GUNTERSVILLE CITY SCHOOL DISTRICT,1095,20813,1537,11302,7974,22155,21378,10780,9060,1538,300,264,10655,6739,801,467,332,677,426,341,273,543,4224,2578,298,170,105,245,212,195,83,331,0
100,1,1504900100000,MOBILE COUNTY SCHOOL DISTRICT,1097,568437,78268,322077,168092,558760,526098,280398,208898,36802,4320,15384,289986,179633,17510,14540,2618,21039,16121,17330,8133,10643,122734,72019,6760,4838,685,7670,8842,10825,3196,7423,0
101,1,1504910100000,SARALAND CITY SCHOOLS,1097,48130,1925,18403,27802,31959,27393,14445,11262,1686,262,1804,14057,9200,945,622,543,1110,107,753,321,450,5663,3674,324,235,151,397,40,431,108,302,0
102,1,1504910200000,CHICKASAW CITY SCHOOLS,1097,11182,1914,6932,2336,11001,10480,5811,3752,917,265,156,5511,3483,503,98,156,448,81,184,228,197,2284,1446,199,35,57,161,31,116,86,130,0
103,1,1504910300000,SATSUMA CITY SCHOOL DISTRICT,1097,15106,1035,9207,4864,14381,13795,7451,5724,620,58,367,6726,4574,320,190,417,536,61,252,162,181,2651,1798,107,63,130,187,34,149,61,119,0
104,1,1505000100000,MONROE COUNTY SCHOOL DISTRICT,1099,33799,4900,21551,7348,38372,32678,19044,11418,2216,393,5113,18496,12322,1311,639,363,1426,382,1101,302,640,7759,4846,520,221,104,553,244,721,108,441,0
105,1,1505100100000,MONTGOMERY COUNTY SCHOOL DISTRICT,1101,306785,45590,173566,87629,294175,277984,159313,99306,19365,3446,10592,158957,100094,12511,8537,1993,11350,8806,5456,2674,5887,65425,39658,4932,2904,639,4310,4884,2688,1152,3917,0
106,1,1505100200000,PIKE ROAD SCHOOL DISTRICT,1101,13904,514,8652,4738,15216,13517,7562,5162,793,117,1429,6513,4463,427,111,369,518,163,63,191,177,2559,1739,162,39,100,163,106,55,68,121,0
107,1,1505200100000,DECATUR CITY SCHOOL DISTRICT,1103,105729,9793,49474,46462,135500,94608,58540,30595,5473,1390,34443,52425,36675,2668,1497,681,4181,2388,1559,891,1643,20830,13891,991,525,217,1564,1216,1025,319,1047,0
