,Year,State,Age Group (Years),State Rate,State Births,U.S. Births,U.S. Birth Rate,Unit
988,2009,Alabama,15-17 years,25.4,"2,493","124,247",19.6,"per 1,000"
989,2009,Alaska,15-17 years,18.3,287,"124,247",19.6,"per 1,000"
990,2009,Arizona,15-17 years,26.8,"3,527","124,247",19.6,"per 1,000"
991,2009,Arkansas,15-17 years,29.2,"1,690","124,247",19.6,"per 1,000"
992,2009,California,15-17 years,18.9,"15,419","124,247",19.6,"per 1,000"
993,2009,Colorado,15-17 years,20.2,"1,974","124,247",19.6,"per 1,000"
994,2009,Connecticut,15-17 years,10.3,765,"124,247",19.6,"per 1,000"
995,2009,Delaware,15-17 years,17.6,318,"124,247",19.6,"per 1,000"
996,2009,District of Columbia,15-17 years,42.1,365,"124,247",19.6,"per 1,000"
997,2009,Florida,15-17 years,18.0,"6,315","124,247",19.6,"per 1,000"
998,2009,Georgia,15-17 years,23.6,"4,854","124,247",19.6,"per 1,000"
999,2009,Hawaii,15-17 years,16.8,421,"124,247",19.6,"per 1,000"
1000,2009,Idaho,15-17 years,16.5,551,"124,247",19.6,"per 1,000"
1001,2009,Illinois,15-17 years,18.6,"5,045","124,247",19.6,"per 1,000"
1002,2009,Indiana,15-17 years,20.2,"2,741","124,247",19.6,"per 1,000"
1003,2009,Iowa,15-17 years,15.5,947,"124,247",19.6,"per 1,000"
1004,2009,Kansas,15-17 years,19.9,"1,163","124,247",19.6,"per 1,000"
1005,2009,Kentucky,15-17 years,24.5,"2,080","124,247",19.6,"per 1,000"
1006,2009,Louisiana,15-17 years,26.9,"2,534","124,247",19.6,"per 1,000"
1007,2009,Maine,15-17 years,9.7,251,"124,247",19.6,"per 1,000"
1008,2009,Maryland,15-17 years,15.8,"1,881","124,247",19.6,"per 1,000"
1009,2009,Massachusetts,15-17 years,10.4,"1,320","124,247",19.6,"per 1,000"
1010,2009,Michigan,15-17 years,15.7,"3,367","124,247",19.6,"per 1,000"
1011,2009,Minnesota,15-17 years,11.1,"1,205","124,247",19.6,"per 1,000"
1012,2009,Mississippi,15-17 years,34.5,"2,244","124,247",19.6,"per 1,000"
1013,2009,Missouri,15-17 years,19.4,"2,371","124,247",19.6,"per 1,000"
1014,2009,Montana,15-17 years,18.5,358,"124,247",19.6,"per 1,000"
1015,2009,Nebraska,15-17 years,17.0,632,"124,247",19.6,"per 1,000"
1016,2009,Nevada,15-17 years,23.6,"1,280","124,247",19.6,"per 1,000"
1017,2009,New Hampshire,15-17 years,6.9,187,"124,247",19.6,"per 1,000"
1018,2009,New Jersey,15-17 years,10.6,"1,929","124,247",19.6,"per 1,000"
1019,2009,New Mexico,15-17 years,34.1,"1,486","124,247",19.6,"per 1,000"
1020,2009,New York,15-17 years,12.0,"4,703","124,247",19.6,"per 1,000"
1021,2009,North Carolina,15-17 years,22.5,"4,193","124,247",19.6,"per 1,000"
1022,2009,North Dakota,15-17 years,12.9,161,"124,247",19.6,"per 1,000"
1023,2009,Ohio,15-17 years,18.2,"4,394","124,247",19.6,"per 1,000"
1024,2009,Oklahoma,15-17 years,29.4,"2,203","124,247",19.6,"per 1,000"
1025,2009,Oregon,15-17 years,15.9,"1,165","124,247",19.6,"per 1,000"
1026,2009,Pennsylvania,15-17 years,15.2,"3,868","124,247",19.6,"per 1,000"
1027,2009,Rhode Island,15-17 years,17.5,366,"124,247",19.6,"per 1,000"
1028,2009,South Carolina,15-17 years,24.1,"2,217","124,247",19.6,"per 1,000"
1029,2009,South Dakota,15-17 years,18.3,303,"124,247",19.6,"per 1,000"
1030,2009,Tennessee,15-17 years,23.5,"2,957","124,247",19.6,"per 1,000"
1031,2009,Texas,15-17 years,32.8,"17,921","124,247",19.6,"per 1,000"
1032,2009,Total U.S.,15-17 years,19.6,"124,247","124,247",19.6,"per 1,000"
