"States:  Employment status of the civilian noninstitutional population by sex, race, Hispanic or Latino ethnicity, marital status, and detailed age, 2016 annual averages",,,,,,,,,,,,,
,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,
State FIPS Code,Group Code,State,Group,Civilian non-institutional population,Civilian labor force,,,,,,,,
,,,,,Number,Percent of population,Employment,,Unemployment,,,,
,,,,,,,Number,Percent of population,Number,Rate,Error range,,
,,,,,,,,,,,of rate 1,,
,,,,,,,,,,,,,
01,01,Alabama,Total,"3,816    ","2,167    ",56.8    ,"2,036    ",53.4    ,131    ,6.0    ,5.3  ,–,6.7  
01,02,Alabama,Men,"1,805    ","1,145    ",63.5    ,"1,070    ",59.3    ,75    ,6.6    ,5.6  ,–,7.6  
01,03,Alabama,Women,"2,011    ","1,022    ",50.8    ,966    ,48.0    ,56    ,5.4    ,4.4  ,–,6.4  
01,04,Alabama,White,"2,689    ","1,506    ",56.0    ,"1,437    ",53.4    ,69    ,4.6    ,3.9  ,–,5.3  
01,05,Alabama,"White, men","1,295    ",840    ,64.8    ,795    ,61.4    ,45    ,5.3    ,4.2  ,–,6.4  
01,06,Alabama,"White, women","1,394    ",666    ,47.8    ,642    ,46.0    ,24    ,3.7    ,2.7  ,–,4.7  
01,07,Alabama,Black or African American,983    ,579    ,58.9    ,520    ,52.9    ,59    ,10.1    ,8.1  ,–,12.1  
01,08,Alabama,"Black or African American, men",436    ,259    ,59.5    ,230    ,52.7    ,29    ,11.3    ,8.2  ,–,14.4  
01,09,Alabama,"Black or African American, women",547    ,319    ,58.4    ,290    ,53.0    ,29    ,9.2    ,6.6  ,–,11.8  
01,13,Alabama,Hispanic or Latino ethnicity,126    ,88    ,69.6    ,83    ,66.0    ,5    ,5.2    ,2.1  ,–,8.3  
01,14,Alabama,"Hispanic or Latino ethnicity, men",64    ,54    ,84.3    ,51    ,78.6    ,4    ,6.8    ,2.3  ,–,11.3  
01,16,Alabama,"Married men, spouse present",955    ,645    ,67.5    ,630    ,65.9    ,15    ,2.4    ,1.6  ,–,3.2  
01,17,Alabama,"Married women, spouse present",951    ,489    ,51.5    ,476    ,50.0    ,14    ,2.8    ,1.8  ,–,3.8  
01,18,Alabama,Women who maintain families,285    ,175    ,61.3    ,160    ,56.3    ,14    ,8.1    ,5.2  ,–,11.0  
01,19,Alabama,"Total, 16 to 19 years",244    ,81    ,33.0    ,65    ,26.6    ,16    ,19.3    ,12.7  ,–,25.9  
01,20,Alabama,"Total, 20 to 24 years",356    ,245    ,68.9    ,221    ,62.0    ,24    ,10.0    ,7.3  ,–,12.7  
01,21,Alabama,"Total, 25 to 34 years",594    ,472    ,79.4    ,433    ,72.8    ,39    ,8.3    ,6.5  ,–,10.1  
