"States:  Employment status of the civilian noninstitutional population by sex, race, Hispanic or Latino ethnicity, marital status, and detailed age, 2015 annual averages",,,,,,,,,,,,,
,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,
State FIPS Code,Group Code,State,Group,Civilian non-institutional population,Civilian labor force,,,,,,,,
,,,,,Number,Percent of population,Employment,,Unemployment,,,,
,,,,,,,Number,Percent of population,Number,Rate,Error range,,
,,,,,,,,,,,of rate 1,,
,,,,,,,,,,,,,
01,01,Alabama,Total,"3,803    ","2,155    ",56.7    ,"2,023    ",53.2    ,132    ,6.1    ,5.3  ,–,6.9  
01,02,Alabama,Men,"1,798    ","1,133    ",63.0    ,"1,064    ",59.2    ,69    ,6.1    ,5.0  ,–,7.2  
01,03,Alabama,Women,"2,005    ","1,022    ",51.0    ,959    ,47.8    ,63    ,6.2    ,5.1  ,–,7.3  
01,04,Alabama,White,"2,703    ","1,521    ",56.3    ,"1,455    ",53.9    ,66    ,4.3    ,3.5  ,–,5.1  
01,05,Alabama,"White, men","1,304    ",848    ,65.0    ,810    ,62.1    ,37    ,4.4    ,3.4  ,–,5.4  
01,06,Alabama,"White, women","1,398    ",674    ,48.2    ,645    ,46.1    ,29    ,4.2    ,3.1  ,–,5.3  
01,07,Alabama,Black or African American,976    ,566    ,58.0    ,506    ,51.8    ,60    ,10.6    ,8.4  ,–,12.8  
01,08,Alabama,"Black or African American, men",432    ,249    ,57.5    ,220    ,50.8    ,29    ,11.7    ,8.1  ,–,15.3  
01,09,Alabama,"Black or African American, women",544    ,317    ,58.4    ,286    ,52.6    ,31    ,9.8    ,6.9  ,–,12.7  
01,13,Alabama,Hispanic or Latino ethnicity,124    ,82    ,66.1    ,77    ,61.8    ,5    ,6.5    ,2.4  ,–,10.6  
01,14,Alabama,"Hispanic or Latino ethnicity, men",68    ,55    ,81.1    ,51    ,75.5    ,4    ,6.9    ,1.7  ,–,12.1  
01,16,Alabama,"Married men, spouse present",974    ,662    ,67.9    ,645    ,66.3    ,16    ,2.5    ,1.6  ,–,3.4  
01,17,Alabama,"Married women, spouse present",972    ,520    ,53.5    ,507    ,52.1    ,13    ,2.6    ,1.6  ,–,3.6  
01,18,Alabama,Women who maintain families,284    ,179    ,63.1    ,157    ,55.2    ,22    ,12.5    ,8.7  ,–,16.3  
01,19,Alabama,"Total, 16 to 19 years",275    ,82    ,30.0    ,70    ,25.3    ,13    ,15.6    ,9.3  ,–,21.9  
01,20,Alabama,"Total, 20 to 24 years",347    ,238    ,68.4    ,208    ,59.9    ,30    ,12.5    ,9.2  ,–,15.8  
01,21,Alabama,"Total, 25 to 34 years",575    ,450    ,78.3    ,408    ,71.0    ,42    ,9.3    ,7.2  ,–,11.4  
